conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,hashtags,mentions,clean_text,label
1.9753434609171377e+18,Mon Oct 06 23:32:35 +0000 2025,0.0,Luar biasa! Program Makan Bergizi Gratis (MBG) yang digagas Presiden Prabowo Subianto berhasil mencapai 99 99% tingkat keberhasilan. Sejak diluncurkan Januari 2025 sudah 3 4 juta penerima manfaat merasakan dampaknya langsung anak-anak lebih sehat semangat belajar meningkat https://t.co/UyOwAXSg5V,1.9753434609171377e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1975343460917137717,1.8606918526026007e+18,kosong,kosong,luar biasa program makan bergizi gratis yang digagas presiden prabowo subianto berhasil mencapai 99 tingkat keberhasilan sejak diluncurkan januari 2025 sudah 3 4 juta penerima manfaat merasakan dampaknya langsung anak lebih sehat semangat belajar meningkat,positive
1.9568613444914253e+18,Sat Aug 16 23:31:16 +0000 2025,0.0,Momentum kemerdekaan jadi pengingat perjuangan bangsa ketika Prabowo Inspektur Upacara hadir membawa bukti keberhasilan program makan bergizi gratis #Dirgahayu80NKRI,1.956861346949264e+18,in,0.0,1.0,0.0,https://x.com/undefined/status/1956861346949263475,1.725397589569479e+18,dirgahayu80nkri,kosong,momentum kemerdekaan jadi pengingat perjuangan bangsa ketika prabowo inspektur upacara hadir membawa bukti keberhasilan program makan bergizi gratis,neutral
1.925321726675837e+18,Wed May 21 22:44:05 +0000 2025,0.0,MBG harus gunakan bahan berkualitas #MBGberkualitas https://t.co/4EyRnEGRwe,1.925321726675837e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1925321726675836937,1.7026162205861192e+18,mbgberkualitas,kosong,makan bergizi gratis harus gunakan bahan berkualitas,positive
1.874857899295716e+18,Thu Jan 02 16:38:51 +0000 2025,0.0,Program makan bergizi gratis bikin masa depan anak-anak Indonesia lebih cerah #MakanBergiziBangunNegeri https://t.co/cCY3EkGvwe,1.874857899295716e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1874857899295715606,1.6888158002439455e+18,makanbergizibangunnegeri,kosong,program makan bergizi gratis bikin masa depan anak indonesia lebih cerah,positive
1.9088825461269583e+18,Sun Apr 06 14:00:38 +0000 2025,0.0,Seusai Lebaran Menu Makan Bergizi Gratis Kembali ke Menu Makanan Segar https://t.co/PSAG1v5QK1 https://t.co/Gkt7Rd65sg,1.9088825461269583e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1908882546126958614,118371948.0,kosong,kosong,seusai lebaran menu makan bergizi gratis kembali ke makanan segar,neutral
1.9427295995758103e+18,Tue Jul 08 23:36:45 +0000 2025,0.0,Ayo dukung Makan Bergizi Gratis https://t.co/55BXHvXXWi,1.9427295995758103e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1942729599575810412,4579190714.0,kosong,kosong,ayo dukung makan bergizi gratis,positive
1.979426478896157e+18,Sat Oct 18 05:57:03 +0000 2025,2.0,Dalam wujud nyata kepedulian terhadap kesehatan dan kesejahteraan masyarakat Satuan Brimob Polda Riau melaksanakan kegiatan Pembagian Makan Bergizi Gratis kepada warga sekitar. @brimob_poldariau ©️ Tim Produksi Humas Korps Brimob Polri #polripresisi #humaskorbrimob https://t.co/XrWAtJZlhQ,1.979426478896157e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1979426478896156861,9.58188936752382e+17,"polripresisi, humaskorbrimob",brimob_poldariau,dalam wujud nyata kepedulian terhadap kesehatan dan kesejahteraan masyarakat satuan brimob polda riau melaksanakan kegiatan pembagian makan bergizi gratis kepada warga sekitar tim produksi humas korps polri,neutral
1.9219403871255145e+18,Mon May 12 22:51:40 +0000 2025,0.0,@MartinusButarb1 Semoga statement yang keluar tidak seperti statement soal keracunan MBG Masih lebih banyak yang tidak keracunan .,1.9220621463738944e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1922062146373894376,387748122.0,kosong,martinusbutarb1,semoga statement yang keluar tidak seperti soal keracunan makan bergizi gratis masih lebih banyak,negative
1.8762655520896653e+18,Mon Jan 06 13:52:21 +0000 2025,0.0,Delapan sekolah di Kota Semarang menjadi proyek percontohan implementasi program Makan Bergizi Gratis yang dilaksanakan oleh Badan Gizi Nasional secara serentak pada hari ini. https://t.co/7lLOho5J47,1.8762655520896653e+18,in,0.0,0.0,0.0,https://x.com/undefined/status/1876265552089665912,18071520.0,kosong,kosong,delapan sekolah di kota semarang menjadi proyek percontohan implementasi program makan bergizi gratis yang dilaksanakan oleh badan gizi nasional secara serentak pada hari ini,neutral
1.9621319788176013e+18,Sun Aug 31 12:34:53 +0000 2025,0.0,Jadi tadi debat soal prioritas anggaran. Aku masalahkan dana MBG yang terlalu besar harusnya bisa diinvestasikan ke lapangan kerja melihat data pekerja kita yang nganggur di usia produktif + pekerja di sektor informal https://t.co/Ga4Jqmue1p,1.9621319788176013e+18,in,0.0,1.0,0.0,https://x.com/undefined/status/1962131978817601611,7.093079113825239e+17,kosong,kosong,jadi tadi debat soal prioritas anggaran saya masalahkan dana makan bergizi gratis yang terlalu besar harusnya bisa diinvestasikan ke lapangan kerja melihat data pekerja kita nganggur di usia produktif sektor informal,negative
