id_str,created_at,full_text,final_text,favorite_count,retweet_count,reply_count,quote_count,user_id_str,tweet_url
1.946922346968662e+18,Sun Jul 20 13:17:14 +0000 2025,Program Makan Bergizi Gratis juga menggerakkan ekonomi lokal melalui keterlibatan UMKM #MBG #GenerasiEmas #EkonomiLokal #IndonesiaMaju https://t.co/P9flWgGiyU,program makan gizi gratis gerak ekonomi lokal libat umkm mbg generasiemas ekonomilokal indonesiamaju,0,0,0,0,1.9449364485847567e+18,https://x.com/undefined/status/1946922346968662064
1.9307688917286093e+18,Thu Jun 05 23:29:10 +0000 2025,Lah emang 02 dan pro pemerintah anjing dan tolol kok Negara udah segelap ini orang pada kena layoff pengangguran dimana mana banyak yg keracunan mbg terus skrng raja ampat mau dirusak juga IKN apa kabar IKN? Kurang anjing apa semua ini coba ,emang pro perintah anjing tolol negara udah gelap orang kena layoff anggur mana yg racun mbg skrng raja ampat rusak ikn kabar ikn anjing coba,0,0,0,0,1.0520023609379922e+18,https://x.com/undefined/status/1930768891728609312
1.8816556441908595e+18,Tue Jan 21 10:50:39 +0000 2025,Nah Ded @corbuzier ditunggu video tabok-tabok terbaru lu. Jangan lupa ajak bini lu sekalian. Siswa SMA di Nunukan Juga Keracunan MBG Lauk Tongkol Berulat https://t.co/TLhfYyvO0y,ded tunggu video tabok tabok baru lupa ajak bini siswa sma nunukan racun mbg lauk tongkol ulat,0,0,0,0,72331131.0,https://x.com/undefined/status/1881655644190859443
1.876228621830091e+18,Mon Jan 06 11:25:36 +0000 2025,Program Makan Bergizi Gratis (MBG) tidak menerapkan menu makanan baku yang seragam. Meskipun anggaran per porsi anak tetap sama menu disesuaikan dengan kekuatan UMKM setempat dan selera anak-anak. #MakanBergiziGratis #MBGA https://t.co/I0nkBbyyck,program makan gizi gratis mbg terap menu makan baku seragam anggar porsi anak menu sesuai kuat umkm selera anak anak makanbergizigratis mbga,1,0,0,0,1.3086560352011305e+18,https://x.com/undefined/status/1876228621830090904
1.911026500377133e+18,Sat Apr 12 11:59:57 +0000 2025,Apresiasi buat IDSurvey tuh valid banget. Dukungan ke MBG nggak main-main bener-bener nyata! #IDSurveySiapDukungMBG https://t.co/20KlIEGBt5,apresiasi idsurvey tuh valid dukung mbg main main bener bener nyata idsurveysiapdukungmbg,0,0,0,0,1.6886457070525194e+18,https://x.com/undefined/status/1911026500377133129
1.9556290921221164e+18,Wed Aug 13 13:54:44 +0000 2025,@ballvrick @dinasehaty @ARSIPAJA @NarasiNewsroom @tempodotco Berdasarkan data hingga 13 Agustus 2025 terdapat sekitar 25-30 kasus keracunan massal pada program MBG sejak Januari dengan total korban &gt;2.000 orang (sumber: BPOM BBC Tempo Detik). Rangkuman persentase korban per provinsi: Jawa Barat ~65% Jawa Tengah ~18% DI Yogyakarta,dasar data agustus racun massal program mbg januari total korban gt orang sumber bpom bbc tempo detik rangkum persentase korban provinsi jawa barat jawa yogyakarta,1,1,0,0,1.7206651831889224e+18,https://x.com/undefined/status/1955629092122116304
1.9023513432617743e+18,Wed Mar 19 13:27:58 +0000 2025,Program Makan Bergizi Gratis merupakan langkah strategis menuju generasi Indonesia Emas! #Prabowo #PrabowoGibran #MBG #AstaCita #IndonesiaEmas2045 https://t.co/AyI9X97OQc,program makan gizi gratis langkah strategis generasi indonesia emas prabowo prabowogibran mbg astacita indonesiaemas,0,0,0,0,617257998.0,https://x.com/undefined/status/1902351343261774277
1.90562076827444e+18,Fri Mar 28 13:59:30 +0000 2025,Skizo anj Dia gak dapet informasi dari bawah kah? MBG itu bagus tapi tidak tepat direalisasikan di Indonesia saat ini. Kalo negara udah maju ekonominya bagus pertahanan oke pendidikan berkualitas dll baru MBG jingan maen loncat loncat aja,skizo anj dapet informasi kah mbg bagus realisasi indonesia negara udah maju ekonomi bagus tahan oke didik kualitas dll mbg jingan maen loncat loncat,0,0,0,0,1.1997036379596431e+18,https://x.com/undefined/status/1905620768274440220
1.9349867336844124e+18,Tue Jun 17 14:49:22 +0000 2025,Udah ga ada MBG lg anjir. Sekolah adekku udah distop MBG nya. Gatau sekolah yg lain. Di sini jg ga semua sekolah dpt MBG padahal katanya pelan2 bakal merata tp bohong aje,udah mbg lg anjir sekolah adekku udah stop mbg gatau sekolah yg jg sekolah mbg pelan rata tp bohong aje,0,0,0,0,1.2149133169522688e+18,https://x.com/undefined/status/1934986733684412460
1.8871011046197005e+18,Wed Feb 05 11:28:58 +0000 2025,Kalau emang negara ini udh ngga ada duit mah mendingan batalin dulu program mbg seengganya sampe duitnya beneran ada deh terus yg dipangkas tuh tunjangan2 pejabat2 bukan kroco2 kecil.,emang negara udh ngga duit mending batalin program mbg seengganya sampe duit beneran yg pangkas tuh tunjang jabat kroco,14,3,0,0,1.2714191891445965e+18,https://x.com/undefined/status/1887101104619700589
